index,name,raw_mean,raw_std,contrib_mean,contrib_std,contrib_abs_mean,contrib_abs_max,scale_hint
8,PstEg,-51.8992125,194.25253281329395,-51.8992125,194.25253281329395,160.2418125,1090.0,0.2496227381352167
7,PstMg,-16.6385,152.82228442786086,-16.6385,152.82228442786086,121.4314,792.0,0.32940409152822087
0,Material,-14.831375,163.20636190298887,-14.831375,163.20636190298887,75.592625,3280.0,0.529152149432567
3,Attacking,-47.0858625,49.497660198549724,-47.0858625,49.497660198549724,50.5401375,732.0,0.7914501617649932
4,KingSafety,-9.76875,40.27009931000295,-9.76875,40.27009931000295,31.056875,175.0,1.2879595902678553
15,MinorMobility,-9.1782375,25.52923459278781,-9.1782375,25.52923459278781,20.7337625,197.0,1.9292205165367355
5,KingMobility,2.4508125,25.398402126705605,2.4508125,25.398402126705605,18.2090625,105.0,2.1967083698021246
12,KingRing,-11.21275,31.181778933176666,-11.21275,31.181778933176666,18.022975,289.0,2.2193894182286775
9,PassedPawns,3.3038,30.230152258299988,3.3038,30.230152258299988,13.9976,232.0,2.8576327370406354
16,PawnStructure,-0.897975,22.02330790093475,-0.897975,22.02330790093475,13.909175,158.0,2.875799607093879
14,RookFiles,-7.2741375,21.17225156026382,-7.2741375,21.17225156026382,12.3958625,92.0,3.226883163636254
10,Initiative,5.0383,9.272838460255844,5.0383,9.272838460255844,8.8591,94.0,4.515131333882675
1,PawnCenter,5.000875,8.353442358355926,5.000875,8.353442358355926,7.307125,30.0,5.474109174264844
11,Hanging,-6.2131125,21.72888044889437,-6.2131125,21.72888044889437,6.6610625,307.0,6.0050479934695105
13,BishopPair,-1.115525,11.971103916280027,-1.115525,11.971103916280027,4.54125,33.0,8.808147536471237
2,CenterControl,2.1791875,4.8199019014751485,2.1791875,4.8199019014751485,4.0389375,20.0,9.90359469538709
6,Pins,-0.66715,3.364418356491951,-0.66715,3.364418356491951,0.67265,40.0,59.466290046829705
