fen,outcome,side_to_move
8/1b2k2p/1P1p2p1/p5q1/P2P4/3Nr2P/1KPQ4/8 b - - 2 32,0.0,b
8/4k2p/1Pbp2p1/p5q1/P2P4/1r5P/2PQ1N2/2K5 b - - 6 34,0.0,b
8/4k2p/1Pbp2p1/p7/P2P4/3N3P/2Pq4/1K6 b - - 1 36,0.0,b
8/4k2p/1P1p2p1/p7/3P1N2/7P/1Kbq4/8 b - - 1 38,0.0,b
8/1P2k2p/3p2p1/p4b2/3P1q2/1K5P/8/8 b - - 0 40,0.0,b
8/1q2k2p/3p2p1/K4b2/3P4/7P/8/8 b - - 0 42,0.0,b
8/1q2k2p/6p1/K2p4/3P4/7b/8/8 b - - 1 44,0.0,b
8/1q2k2p/8/3p4/3P2p1/K6b/8/8 b - - 1 46,0.0,b
8/1q2k3/7p/3p4/3P4/K5pb/8/8 b - - 1 48,0.0,b
8/1q2k3/8/3p3p/3P4/7b/6p1/K7 b - - 1 50,0.0,b
8/1q2k3/8/3p4/3P3p/K6b/8/6q1 b - - 1 52,0.0,b
r1bq1rk1/1pp2pb1/3p1npp/pPn1p3/P7/R1PP1NP1/1B2PPBP/3Q1RK1 b - - 0 11,0.0,b
r2q1rk1/1pp2pb1/3pbnpp/pPn5/P2Pp3/R1P3P1/1B2PPBP/3QNRK1 b - - 0 13,0.0,b
r2qr1k1/1ppn1pb1/3pbnpp/pP6/P2PB3/R1P3P1/1BQ1PP1P/4NRK1 b - - 0 15,0.0,b
r2qr1k1/1Bpn1pb1/3p1npp/pP6/P2P4/R1P3P1/1BQ1PP1P/4NK2 b - - 0 17,0.0,b
1r1q2k1/2pnrpb1/3p1npp/pP6/P2P4/R1P2BP1/1BQ1PP1P/4N1K1 b - - 4 19,0.0,b
1r3qk1/2p1rpb1/1n1p1npp/pP6/P2P4/2P2BP1/1B2PP1P/RQ2N1K1 b - - 8 21,0.0,b
1r3qk1/2p1rpb1/1n1p1npp/pP6/P2P4/2P2BP1/1B2PP1P/RQ2N1K1 b - - 12 23,0.0,b
1r2q1k1/2p1rpb1/1nBp1npp/pP6/P2P4/2P3P1/1BQ1PP1P/R3N1K1 b - - 16 25,0.0,b
1r3qk1/2p1rpb1/1P1p1npp/p7/P1nP4/2P2BP1/1BQ1PP1P/R3N1K1 b - - 0 27,0.0,b
5qk1/2p1rpb1/1r3npp/p2p4/P1nP3P/2P2BP1/2Q1PP2/R1B1N1K1 b - h3 0 29,0.0,b
1r2q1k1/2p1rpb1/5npp/p2B4/P1nP1B1P/2P3P1/2Q1PP2/R3N1K1 b - - 0 31,0.0,b
1r2q1k1/2p1rpb1/6pp/p7/P1QP1B1P/2n3P1/4PP2/R3N1K1 b - - 0 33,0.0,b
1r2q1k1/2B1rp2/6pp/p7/P1Qb3P/6P1/4nPK1/R3N3 b - - 0 35,0.0,b
1r2q1k1/5p2/6pp/Q7/P6P/6P1/4nPK1/b3N3 b - - 0 37,0.0,b
1r2q1k1/5p2/5Qpp/8/P6P/6n1/5PK1/4N3 b - - 0 39,0.0,b
1r4k1/5p2/6pp/7n/P3q2P/5N2/5PK1/Q7 b - - 4 41,0.0,b
1r4k1/5p2/6pp/7n/P6P/5q2/5P1K/6Q1 b - - 1 43,0.0,b
1r4k1/5p2/6pp/4q2n/P4P1P/8/6QK/8 b - f3 0 45,0.0,b
6k1/5p2/6pp/7n/P4q1P/8/8/1r4QK b - - 3 47,0.0,b
r1bq1rk1/ppn2ppp/5n2/4p1B1/2Pb4/2N3Q1/PP3PPP/3RRBK1 w - - 0 15,1.0,w
r2qnrk1/pp3ppp/5n2/4pb2/2Pb3B/2N3Q1/PP2BPPP/3RR1K1 w - - 4 17,1.0,w
r2q1rk1/pp3ppp/3n1n2/2b1pb2/7B/2N2BQ1/PP3PPP/3RR1K1 w - - 0 19,1.0,w
r4rk1/ppq2ppp/3n1n2/4Rb2/7B/2N2B2/PP3QPP/3R2K1 w - - 1 21,1.0,w
r3r1k1/pp3ppp/3n1n2/2Q2b2/7B/2N2B2/PP4PP/3R2K1 w - - 1 23,1.0,w
r3r1k1/pp3ppp/3R4/2Q5/4b2B/5B2/PP4PP/6K1 w - - 0 25,1.0,w
4r1k1/Qp3ppp/3R4/8/4r2B/8/PP4PP/6K1 w - - 1 27,1.0,w
6k1/1Q3ppp/3Rr3/8/8/8/PP4PP/4B1K1 w - - 1 29,1.0,w
3r2k1/1Q3ppp/8/8/8/8/PP3KPP/4B3 b - - 1 31,1.0,b
4r1k1/1Q3p1p/6p1/8/1B6/P7/1P3KPP/8 b - - 1 33,1.0,b
4r2k/5Q1p/5pp1/8/1B6/P7/1P3KPP/8 b - - 3 35,1.0,b
7k/6rp/5Qp1/8/8/P1B5/1P3KPP/8 b - - 2 37,1.0,b
r1bqkb1r/pp1npppp/2p5/1B1n4/8/8/PPPP1PPP/RNBQR1K1 w kq - 0 6,0.0,w
r1bqkb1r/pp2pppp/5n2/1p1Q4/8/8/PPPP1PPP/RNB1R1K1 w kq - 1 8,0.0,w
r1b1kb1r/pp2pppp/5n2/1q6/8/2N5/PPPP1PPP/R1B1R1K1 w kq - 0 10,0.0,w
r1bk1b1r/1p2pppp/p4n2/1N6/8/1P6/P1PP1PPP/R1B1R1K1 w - - 0 12,0.0,w
r2k1b1r/1p2pppp/p4n2/7b/3N4/1P5P/P1PP1PP1/R1B1R1K1 w - - 1 14,0.0,w
r2k1b1r/1p2pppp/5n2/7b/p2N4/1P5P/PBPP1PP1/R3R1K1 w - - 0 16,0.0,w
3k1b1r/1p1npppp/8/7b/r7/1N5P/PBPP1PP1/R3R1K1 w - - 2 18,0.0,w
5b1r/1pknpppp/6b1/8/r7/1NP1R2P/PB1P1PP1/R5K1 w - - 1 20,0.0,w
5b1r/1pknpppp/8/3b4/r7/1NP4P/PB1P1PPK/R7 w - - 2 22,0.0,w
5b1r/1p1npppp/1k6/3b4/3N4/2P3KP/rB1P1PP1/R7 w - - 0 24,0.0,w
5b1r/1p1npppp/1k6/3b4/3N4/B1P3KP/3P1PP1/8 w - - 2 26,0.0,w
5b1r/1p2pppp/1k6/3bn3/1B1N4/2P3KP/3P1PP1/8 b - - 6 28,0.0,b
7r/1p2bppp/1k6/3b4/2nN4/2PP2KP/5PP1/8 b - - 0 30,0.0,b
7r/1p3ppp/1k1b4/3bn3/3N1K2/2PP3P/5PP1/8 b - - 4 32,0.0,b
7r/1p3ppp/1k1b4/4n3/3N4/2PP3K/5P2/8 b - - 0 34,0.0,b
2r5/1p3ppp/1k1b4/5N2/8/2Pn4/5PK1/8 b - - 3 36,0.0,b
2r5/1p3ppp/1k6/4b3/5n2/2P1NK2/5P2/8 b - - 7 38,0.0,b
1b6/1p3ppp/1k6/8/4Kn2/2r5/5P2/3N4 b - - 3 40,0.0,b
1b6/1p3ppp/1k6/3n4/2r5/5K2/1N3P2/8 b - - 7 42,0.0,b
1b6/1p3ppp/1k6/3n4/4K3/3N4/2r2P2/8 b - - 11 44,0.0,b
1b6/1p2nppp/1k6/8/2r5/5K2/5P2/4N3 b - - 15 46,0.0,b
1b6/1p2nppp/1k6/8/5r2/8/2N1KP2/8 b - - 19 48,0.0,b
1b6/1p2nppp/1k6/4r3/3N4/3K4/5P2/8 b - - 23 50,0.0,b
1b1r4/1p2nppp/1k6/8/2K5/5N2/5P2/8 b - - 27 52,0.0,b
2r5/1p2nppp/1k6/8/5b2/3K4/5P2/4N3 b - - 31 54,0.0,b
3r4/1p2nppp/1k5b/8/8/5K2/5P2/4N3 b - - 35 56,0.0,b
4r3/1p3ppp/1k5b/3n4/8/5K2/1N3P2/8 b - - 39 58,0.0,b
4r3/1p3ppp/5n1b/2k5/8/5K2/1N3P2/8 b - - 43 60,0.0,b
4r3/1p3ppp/5n2/1k6/8/3N4/3b1PK1/8 b - - 47 62,0.0,b
