trial,loss,mae,mse,rmse,error_count,evaluated,val_mae,val_mse,val_rmse,val_error_count
31,538.9863856213053,538.9863856213053,1152491.0895682808,1073.541377669385,0,16747,571.8784946236559,1250236.6784946236,1118.1398295806405,0
32,537.273004120141,537.273004120141,1149361.1906013016,1072.08264168454,0,16747,570.2456989247312,1246327.0586021505,1116.3901910184227,0
33,537.4492744969248,537.4492744969248,1150535.6475189587,1072.630247344796,0,16747,570.352688172043,1247125.5774193548,1116.7477680386717,0
34,537.5529348540038,537.5529348540038,1150732.1641488029,1072.721848453178,0,16747,570.4655913978495,1247429.9268817205,1116.8840257080055,0
35,538.3594076551024,538.3594076551024,1151247.0149280468,1072.9617956516656,0,16747,570.9795698924731,1247566.6268817205,1116.9452210747493,0
36,537.5853585716845,537.5853585716845,1151276.9402281006,1072.9757407453817,0,16747,570.3903225806451,1247131.2408602152,1116.750303720673,0
37,539.2911566250672,539.2911566250672,1157709.2732429688,1075.9689926958717,0,16747,571.7870967741935,1253621.3602150537,1119.6523389941422,0
38,536.8322087538066,536.8322087538066,1152100.2615990923,1073.3593347985066,0,16747,568.5623655913978,1244917.0849462366,1115.758524478409,0
39,536.2271451603273,536.2271451603273,1149912.6662685855,1072.3398091410136,0,16747,570.5494623655914,1251460.0161290322,1118.6867372634003,0
40,539.511733444796,539.511733444796,1161682.8588403894,1077.8139258890606,0,16747,571.6849462365591,1256408.33655914,1120.896220244827,0
41,537.4408550785215,537.4408550785215,1153451.177643757,1073.9884439060586,0,16747,569.394623655914,1247129.2258064516,1116.7494015250027,0
42,536.6820326028543,536.6820326028543,1149699.5224219263,1072.240421930607,0,16747,568.2838709677419,1242042.5806451612,1114.4696409706105,0
43,538.2554487370872,538.2554487370872,1154855.6204693378,1074.6420894741364,0,16747,569.9849462365592,1248386.0537634408,1117.3119769175667,0
44,536.3278199080432,536.3278199080432,1148080.5095838062,1071.4851886908218,0,16747,567.9569892473119,1240848.5483870967,1113.933816879215,0
45,536.8876813757688,536.8876813757688,1153773.1034812205,1074.1383074265718,0,16747,568.5376344086021,1246745.0612903226,1116.577387058471,0
46,539.0167791246193,539.0167791246193,1162326.236579686,1078.1123487743223,0,16747,570.5069892473118,1254146.8306451612,1119.8869722633447,0
47,537.6707469994626,537.6707469994626,1157568.5681017495,1075.9036053949023,0,16747,568.389247311828,1247872.7580645161,1117.0822521482096,0
48,539.5055830895086,539.5055830895086,1161189.905296471,1077.585219505386,0,16747,572.9806451612903,1259906.9666666666,1122.4557749268638,0
49,538.1433092494178,538.1433092494178,1157377.0084194185,1075.8145790141618,0,16747,570.1010752688172,1249619.3075268818,1117.8637249355943,0
50,542.5904938197887,542.5904938197887,1166801.3538544218,1080.1857959880892,0,16747,574.6559139784946,1260755.7580645161,1122.8338069654458,0
51,537.7367289663821,537.7367289663821,1152511.332596883,1073.5508057827924,0,16747,569.5010752688172,1246424.293548387,1116.4337389869527,0
52,541.891204394817,541.891204394817,1162419.181704186,1078.1554534037223,0,16747,574.1827956989247,1258873.8516129032,1121.9954775367426,0
53,538.0014330924942,538.0014330924942,1152321.3423299696,1073.46231528171,0,16747,569.7408602150538,1246171.3870967743,1116.3204679198416,0
54,536.0451424135666,536.0451424135666,1147950.0081208574,1071.424289495463,0,16747,567.9198924731182,1240854.955376344,1113.9366927147807,0
55,540.0935689974324,540.0935689974324,1159103.9497820504,1076.6169001934024,0,16747,572.1440860215054,1253450.153763441,1119.5758811994124,0
56,538.2476264405565,538.2476264405565,1156096.8668418224,1075.2194505503621,0,16747,570.2252688172043,1250775.4639784945,1118.3807330146985,0
57,540.493162954559,540.493162954559,1155043.0025079118,1074.7292694013279,0,16747,571.2247311827957,1246673.0623655913,1116.5451456907558,0
58,539.9544993133098,539.9544993133098,1160526.5922254731,1077.2773979924916,0,16747,571.9016129032258,1255187.4586021504,1120.3514888650573,0
59,537.6232160984057,537.6232160984057,1153928.5278557353,1074.210653389611,0,16747,568.8930107526882,1245247.2392473118,1115.906465277136,0
60,537.5789096554607,537.5789096554607,1153754.4219263152,1074.1296113255212,0,16747,571.3349462365592,1255173.8510752688,1120.3454159656605,0
61,536.7541649250612,536.7541649250612,1155023.4673672896,1074.7201809621374,0,16747,568.5849462365592,1247961.893548387,1117.122147998323,0
62,534.1078402101869,534.1078402101869,1143120.9501403237,1069.1683450889873,0,16747,564.7344086021506,1231486.8741935485,1109.723782836769,0
63,539.9279273899803,539.9279273899803,1166610.2889472742,1080.0973516064532,0,16747,572.1236559139785,1261069.6462365591,1122.97357325832,0
64,534.1362034991341,534.1362034991341,1143651.2855436795,1069.416329379573,0,16747,565.3908602150537,1233697.755376344,1110.7194764549436,0
65,541.2478652893055,541.2478652893055,1170336.8891144684,1081.821098479073,0,16747,573.6483870967742,1265918.8043010752,1125.1305721119995,0
66,532.6222009912223,532.6222009912223,1138291.3225055235,1066.9073636007597,0,16747,564.1860215053763,1228366.6516129032,1108.3170356955195,0
67,533.1111840926733,533.1111840926733,1139870.5882247568,1067.6472208668727,0,16747,564.6682795698924,1230129.590860215,1109.1120731739488,0
68,533.2141279035051,533.2141279035051,1141110.8452260105,1068.2278994793248,0,16747,564.733870967742,1231373.3704301075,1109.6726411109303,0
69,534.4550665790888,534.4550665790888,1140849.3261479668,1068.1054845603812,0,16747,565.65,1230739.315591398,1109.3869097800812,0
70,533.9850719531856,533.9850719531856,1141792.5298859498,1068.5469245128872,0,16747,565.4483870967742,1232066.4752688173,1109.9848986670122,0
71,538.3471069445274,538.3471069445274,1145635.5683405984,1070.3436683330258,0,16747,569.0774193548388,1235041.0204301076,1111.32399435543,0
72,534.380187496268,534.380187496268,1142380.0461575207,1068.821802807896,0,16747,565.8430107526882,1232651.176344086,1110.2482498721113,0
73,534.4493342091121,534.4493342091121,1142624.9976115124,1068.9363861388163,0,16747,565.9010752688172,1232961.164516129,1110.3878441860434,0
74,534.3613184450946,534.3613184450946,1142888.1272466711,1069.0594591727213,0,16747,565.8639784946237,1233516.9392473118,1110.6380775244975,0
75,534.732310264525,534.732310264525,1142225.3448378814,1068.74943033336,0,16747,566.2118279569893,1232942.0161290322,1110.3792217657137,0
76,534.8686331880336,534.8686331880336,1143267.7553591689,1069.2369968155651,0,16747,566.325806451613,1233856.4569892474,1110.790915064238,0
77,535.3330745805218,535.3330745805218,1145108.159132979,1070.097266201993,0,16747,566.9043010752688,1236237.7311827957,1111.862280672744,0
78,535.3755896578492,535.3755896578492,1145088.8958619453,1070.0882654538107,0,16747,566.905376344086,1236073.6569892473,1111.7884947188684,0
79,534.672000955395,534.672000955395,1144634.1986027348,1069.8757865297891,0,16747,566.1827956989247,1235611.0903225807,1111.580447076405,0
80,534.7935152564638,534.7935152564638,1144921.1988415837,1070.0099059548859,0,16747,566.4731182795699,1236344.9096774193,1111.9104773665097,0
81,534.4853406580283,534.4853406580283,1144117.939093569,1069.6344885490412,0,16747,565.9661290322581,1234990.9586021504,1111.301470619989,0
82,534.6649549172986,534.6649549172986,1144308.4926255448,1069.7235589747218,0,16747,566.1096774193549,1234449.2462365592,1111.057715078996,0
83,535.2409983877709,535.2409983877709,1144840.6622678689,1069.9722717285101,0,16747,566.6397849462365,1234838.359139785,1111.2328105036247,0
84,535.7975756851973,535.7975756851973,1145503.3305069564,1070.2818930108817,0,16747,567.1295698924731,1235620.9779569893,1111.584894624333,0
85,535.5820146891981,535.5820146891981,1145446.3208932944,1070.2552596896194,0,16747,567.1806451612903,1236351.7451612903,1111.9135511186516,0
86,536.0242431480265,536.0242431480265,1145947.8396130651,1070.4895326966373,0,16747,567.6543010752688,1237373.8166666667,1112.3730564278635,0
87,534.9006986325909,534.9006986325909,1144369.4101630142,1069.752032091089,0,16747,566.4940860215054,1234921.8575268816,1111.2703800276877,0
88,535.132680480086,535.132680480086,1143787.6844210904,1069.480100058477,0,16747,566.6537634408602,1235005.0612903226,1111.3078157244836,0
89,536.9497820505165,536.9497820505165,1149520.1000776258,1072.156751635518,0,16747,568.5166666666667,1241583.1951612902,1114.2635214173038,0
90,534.5452319818475,534.5452319818475,1143903.5388427777,1069.534262584784,0,16747,566.3376344086022,1235423.4806451614,1111.4960551640124,0
91,534.215501283812,534.215501283812,1142322.3478234909,1068.7948109078238,0,16747,565.6682795698924,1232390.5112903225,1110.1308532287185,0
92,533.8634382277423,533.8634382277423,1141750.7410879561,1068.5273703036137,0,16747,565.2053763440861,1231626.964516129,1109.7869004976267,0
93,534.1092135904938,534.1092135904938,1142151.0007165463,1068.7146488733774,0,16747,565.4091397849462,1232214.1747311829,1110.0514288676823,0
94,533.8579447065146,533.8579447065146,1141383.4491550724,1068.3554881943896,0,16747,565.1370967741935,1231070.8134408602,1109.5363055983614,0
95,533.2949184928644,533.2949184928644,1138733.8712605243,1067.1147413753238,0,16747,564.7134408602151,1229008.6919354838,1108.6066443673715,0
96,535.189287633606,535.189287633606,1139967.8176986922,1067.692754353373,0,16747,565.331182795699,1228656.8892473117,1108.447964158585,0
97,534.2102466113333,534.2102466113333,1141351.5217650922,1068.3405457835493,0,16747,565.5112903225806,1231430.6370967743,1109.6984442166142,0
98,534.8265360960172,534.8265360960172,1144710.7142771839,1069.911545071453,0,16747,566.3806451612903,1235599.1892473118,1111.5750938408578,0
99,536.3273422105452,536.3273422105452,1152163.0029258972,1073.3885610187474,0,16747,567.9602150537635,1244846.9784946237,1115.7271075377812,0
100,534.238908461217,534.238908461217,1144363.3665134055,1069.7492072973953,0,16747,565.8129032258065,1234935.7483870967,1111.2766300013227,0
101,538.8642144861766,538.8642144861766,1161228.554547083,1077.6031526248812,0,16747,569.8494623655914,1250679.7602150538,1118.33794544183,0
102,536.6792261300532,536.6792261300532,1153159.7245476802,1073.8527480747443,0,16747,567.5768817204302,1241201.1532258065,1114.0920757396161,0
103,533.9571863617364,533.9571863617364,1140780.3141458172,1068.0731782728267,0,16747,565.1537634408602,1230499.8247311828,1109.2789661447578,0
104,533.9491252164567,533.9491252164567,1140684.585776557,1068.028363750962,0,16747,565.1908602150538,1230502.538172043,1109.28018920922,0
105,535.7318922792142,535.7318922792142,1146217.9105511436,1070.6156689265965,0,16747,567.0575268817204,1237168.25,1112.2806525333433,0
106,534.4369140741626,534.4369140741626,1142182.4947154715,1068.729383293765,0,16747,566.2532258064516,1233833.6166666667,1110.780633908724,0
107,534.1393085328716,534.1393085328716,1141874.891920941,1068.5854630870388,0,16747,565.3591397849463,1231529.1043010752,1109.7428099794454,0
108,533.460440675942,533.460440675942,1139577.4809816685,1067.5099442073918,0,16747,564.4887096774194,1228053.7005376343,1108.1758436898156,0
109,535.6477578073685,535.6477578073685,1145514.4283155191,1070.2870775243057,0,16747,566.5204301075269,1232897.3720430108,1110.3591185031132,0
110,532.9348540037022,532.9348540037022,1135373.993312235,1065.5392969347658,0,16747,564.1736559139785,1224485.502688172,1106.5647304555537,0
111,535.4058040246014,535.4058040246014,1138866.7342807667,1067.1769929495138,0,16747,566.1747311827957,1227554.8639784947,1107.9507497982456,0
112,539.4174479011166,539.4174479011166,1148723.336717024,1071.7851168573968,0,16747,571.1096774193549,1241568.6150537634,1114.2569789118502,0
113,532.2180091956768,532.2180091956768,1132945.4911924524,1064.3991221306285,0,16747,563.5403225806451,1222170.8252688171,1105.5183513939592,0
114,532.7781692243387,532.7781692243387,1135281.5260046576,1065.4959061416696,0,16747,564.2016129032259,1225135.1209677418,1106.8582208068665,0
115,532.6865110168985,532.6865110168985,1135273.7597778707,1065.49226171656,0,16747,564.1215053763441,1225141.811827957,1106.8612432585924,0
116,532.6154535140622,532.6154535140622,1134378.0108079058,1065.071833637481,0,16747,564.0096774193548,1224142.9860215054,1106.4099538694984,0
117,532.9656057801398,532.9656057801398,1134170.7838418821,1064.9745461004607,0,16747,564.2956989247311,1223809.51827957,1106.2592455114534,0
118,533.2406998268347,533.2406998268347,1135681.9308532872,1065.6837855824247,0,16747,564.5849462365592,1225639.730107527,1107.0861439416208,0
119,534.1999761151251,534.1999761151251,1136725.6477578073,1066.1733666518815,0,16747,565.6720430107526,1226890.2903225806,1107.6507980056624,0
120,534.3253119961785,534.3253119961785,1137379.3440019109,1066.4798844806735,0,16747,565.7677419354839,1227639.7387096775,1107.9890517102042,0
121,534.1901833164148,534.1901833164148,1137216.9303755898,1066.4037370412716,0,16747,565.6725806451612,1227537.6188172044,1107.9429673124896,0
122,533.5144802054099,533.5144802054099,1134056.9841165582,1064.9211163821283,0,16747,564.8655913978495,1223716.3193548387,1106.217121253707,0
123,532.9210604884457,532.9210604884457,1133677.6389204036,1064.7429919564643,0,16747,564.1849462365591,1222860.8752688172,1105.8304007707588,0
124,532.4951334567385,532.4951334567385,1131810.5264226429,1063.8658404247421,0,16747,563.7548387096774,1220985.8430107527,1104.9822817632655,0
125,533.5448737087239,533.5448737087239,1134023.8224159551,1064.9055462415224,0,16747,564.8139784946237,1223454.4096774193,1106.098734145112,0
126,533.1565056428017,533.1565056428017,1133445.1237833642,1064.6337979715674,0,16747,564.394623655914,1222768.364516129,1105.7885713445085,0
127,532.7089627993073,532.7089627993073,1132497.426345017,1064.188623480357,0,16747,563.8322580645162,1221393.423655914,1105.166694963214,0
128,532.7889771302323,532.7889771302323,1132430.400131367,1064.157131316314,0,16747,564.1268817204301,1221843.3666666667,1105.3702396331587,0
129,534.4057443124142,534.4057443124142,1135315.9300770287,1065.512050648433,0,16747,565.7268817204301,1225125.0516129031,1106.853672177539,0
130,533.585477996059,533.585477996059,1133787.2194422882,1064.7944493855555,0,16747,564.6806451612903,1222836.9806451614,1105.8195967901643,0
131,533.3817400131367,533.3817400131367,1132993.6547441334,1064.4217466512666,0,16747,564.5591397849462,1222179.822580645,1105.5224206594116,0
132,536.9207022153222,536.9207022153222,1141726.7222189049,1068.516131005473,0,16747,569.0913978494624,1234808.9483870969,1111.2195770355636,0
133,533.6742103063235,533.6742103063235,1134417.0714754881,1065.0901705843914,0,16747,564.1258064516129,1221620.210752688,1105.26929331846,0
134,532.8986684182241,532.8986684182241,1131932.3690213172,1063.9231029643624,0,16747,563.9252688172043,1220670.9682795699,1104.8397930376918,0
135,533.1399653669314,533.1399653669314,1132645.0402460143,1064.257976360062,0,16747,564.408064516129,1221700.9951612903,1105.3058378391431,0
136,531.8436137815728,531.8436137815728,1129984.100376187,1063.0071026931978,0,16747,563.0731182795699,1218647.7494623656,1103.9237969454077,0
