number,loss,texel_scale,error_count
0,0.9090668457686316,873.5189251654904,0
1,0.9185447192929307,829.9489911549261,0
2,0.9126629536655029,877.3599348914951,0
3,1.2095897272180791,453.69885580738537,0
4,0.9830120327287407,676.0741070654655,0
5,1.082565156291124,535.7579100214225,0
7,1.037729261037019,590.2480669027651,0
8,0.9361916055699318,770.7142748739782,0
9,0.8591872711372254,1029.8210654613117,0
10,0.8760445047241248,953.683106031353,0
11,1.0619103330714716,563.0840951028051,0
12,0.9574197247929599,721.9692168764511,0
13,0.9589017699640832,729.2875758675663,0
14,0.9551757032572539,732.177205378847,0
15,0.9347777122758134,790.6612749510884,0
16,1.0601466245893811,563.6545926262781,0
17,1.393557118679196,344.6467574684466,0
18,1.5238577699743292,303.10602968573085,0
19,1.2963183892423051,389.49804562565066,0
20,1.087190731552945,539.0298996909625,0
21,0.9540581108304631,724.8617086185479,0
22,0.9685830180693464,702.9109566952102,0
23,0.848627515102672,1079.522104621985,0
24,0.8797630901617544,949.163072540608,0
25,0.9082046326110065,863.6867404517992,0
26,0.8632226527855321,1011.9221682770971,0
27,0.9221756912215715,814.4979479356815,0
28,0.8523883608629541,1074.7896234844357,0
29,0.8977228657320725,890.5133587170142,0
30,0.9050211533605481,867.7935727424239,0
31,0.8853167406682756,935.6835008472292,0
32,0.988044747081564,673.8029103005097,0
33,0.8816731839786593,939.6473331317804,0
34,0.9412454595758099,762.113324584221,0
35,0.9318448075786869,783.5480174915139,0
36,0.8669176761894299,990.7383319784851,0
37,1.0024487974080534,647.9465392401225,0
38,0.8790369617380784,951.7742731916013,0
39,0.8405962081063941,1117.933543158461,0
40,0.9721564660240489,691.9626778060269,0
41,0.8479295681153554,1086.546354119474,0
42,0.9007249746839131,864.8031834151351,0
43,0.9261098723087886,803.2039571307998,0
44,0.8659954963577303,993.5434640463957,0
45,0.8538957550890304,1039.757922521471,0
46,0.8319256542661585,1169.4894825877864,0
47,0.8307092834102896,1186.3397653972083,0
48,0.8433364578061242,1097.3988804980313,0
49,0.8596997822029242,1019.0903285601507,0
50,0.9154787749074876,817.9372559170021,0
51,0.8473713330582432,1085.3398950426035,0
52,0.8354300015333522,1167.4258877891161,0
53,0.8366113497265617,1162.4854866530175,0
54,0.8538207703624657,1054.8951550119668,0
55,0.8838545426074707,927.8582454556118,0
56,0.9153192902974409,835.8576471167452,0
57,0.8417816289851098,1139.2774332793604,0
58,0.8764167142490329,954.3933650919969,0
59,0.8843348068707846,930.5754076301246,0
60,0.845077825514958,1108.6785866792304,0
61,0.8565366177624477,1058.1430750554523,0
62,0.8764035518265735,966.9238147028818,0
63,0.88548109147465,933.69184240194,0
64,0.8633043556377342,1021.4100991799653,0
65,0.8815600223193872,944.8871143894586,0
66,0.8454097028802979,1088.89845792761,0
67,0.8611235223149897,1024.0882241130648,0
68,0.8622764125947482,1013.4534385078894,0
69,0.8848911331260183,927.2937459101457,0
70,0.8398837512197327,1145.4748773273138,0
71,0.9300679936628028,805.7759251172879,0
72,0.8750820141298901,956.8811255822436,0
73,0.848874818368903,1079.2266671285772,0
74,0.9120093457473517,859.6823923321906,0
75,0.8416908035439775,1121.0439647924509,0
76,0.8917720867393835,909.8327801509812,0
77,0.8296205902077842,1198.609403474762,0
78,0.8664578951006501,996.8999164267827,0
79,0.8373673399819481,1138.2090427004214,0
80,0.8649029136311602,1020.6458064062219,0
81,0.8908311044514181,922.3619222535543,0
82,0.8431768034286796,1120.869936674359,0
83,0.8491719846206038,1092.5290590027098,0
84,0.8655125548335788,1021.1023893015907,0
85,0.8424108271649982,1140.600083424481,0
86,0.8332270202670754,1194.0810197534202,0
87,0.8460770963750712,1110.7421562673583,0
88,0.833447604645252,1167.9684540973026,0
89,0.9288980360577721,794.8177480669934,0
90,0.8410089304937752,1141.609794716454,0
91,0.8315479134499016,1193.2064884791978,0
92,0.8430542253709753,1137.5071564046298,0
93,0.8453023052794267,1100.3057994425317,0
94,0.8543124461630042,1055.6051219196554,0
95,0.8503775687576415,1079.908683956699,0
96,0.8425659975920258,1113.87779006848,0
97,0.8644993570495748,1009.7317523935899,0
98,0.8292594424543366,1188.1591263522228,0
99,0.8355027759518456,1163.4908753214622,0
100,0.8688117308607785,1001.6031398336439,0
101,0.8426852809713837,1126.6119434285886,0
102,0.8427384386917488,1138.2243728617464,0
103,0.8451000133752197,1109.2001966989642,0
104,0.8602861538712101,1032.741767617864,0
105,0.8356580719792404,1153.806634828509,0
106,0.877884427911269,953.8650335754458,0
107,0.8432689810826043,1107.0469439930516,0
108,0.8409064545732305,1123.221360865352,0
109,0.8470061778729883,1105.5869680304415,0
110,0.8536589882572478,1072.6524767751093,0
111,0.8533688713548208,1060.9071230110017,0
112,0.850505183574126,1086.6580443562384,0
113,0.8331262993377252,1174.1801611724532,0
114,0.8961117577676824,883.5048800418355,0
115,0.8462500278872395,1101.857097088671,0
116,0.831418185723697,1177.4460618105268,0
117,0.8797874224124423,942.4839434754466,0
118,0.858176595020351,1028.42554014444,0
119,0.8282924890402329,1190.6653833384612,0
120,0.831619451036762,1170.1474426889113,0
121,0.835430866483165,1139.3446063515157,0
122,0.8919200295797052,897.9438695150706,0
123,0.840256340143766,1118.9209374073125,0
124,0.8322686483657139,1191.5136985891943,0
125,0.8340049583739072,1176.2280290572835,0
126,0.8533876925065981,1062.0744868241204,0
127,0.8622121477578563,1012.5140761631549,0
128,0.8425920192307838,1108.9757673786808,0
129,0.836140257186639,1156.2467253845066,0
130,0.8336041225710649,1181.4885298841975,0
131,0.858427571013935,1033.607374580277,0
132,0.8438590787052296,1110.445035052076,0
133,0.83171777822688,1169.6419579882725,0
134,0.8341081815930808,1154.4315821428436,0
135,0.8756477689925153,958.9709874228424,0
136,0.8397113481539669,1134.7415335465303,0
137,0.8344129099865678,1162.045290791615,0
138,0.8402348872401838,1127.986664066722,0
139,0.8353241193458122,1164.783159247075,0
140,0.8705763753636132,976.625895346463,0
141,0.8517639508480768,1055.3130296480886,0
142,0.885579744739718,918.3480574297756,0
143,0.8907337415421593,897.8295245661061,0
144,0.8411351663486051,1128.334906834725,0
145,0.8794062991764766,929.9692841215322,0
