fen,outcome,side_to_move
r1bq1rk1/1pp2pb1/3p1npp/pPn1p3/P7/R1PP1NP1/1B2PPBP/3Q1RK1 b - - 0 11,0.0,b
r2q1rk1/1pp2pb1/3pbnpp/pPn5/P2Pp3/R1P3P1/1B2PPBP/3QNRK1 b - - 0 13,0.0,b
r2qr1k1/1ppn1pb1/3pbnpp/pP6/P2PB3/R1P3P1/1BQ1PP1P/4NRK1 b - - 0 15,0.0,b
r2qr1k1/1ppn1pb1/3pbnpp/pP6/P2P4/R1PB2P1/1B2PP1P/2Q1NRK1 b - - 4 17,0.0,b
r2qr1k1/1pp2pb1/1n2bnpp/pP1p4/P2P4/2PB2P1/1B2PPKP/R1Q1NR2 b - - 3 19,0.0,b
r2qr1k1/1pp2pb1/4bnpp/pP6/P1pP4/2P2NP1/1B2PPKP/R1Q2R2 b - - 1 21,0.0,b
r1q1r1k1/1pp2pb1/5npp/pP6/P1pP4/2P2NPb/1B2PP1P/R1Q1R1K1 b - - 5 23,0.0,b
r2qr1k1/1p3pb1/1Pp2npp/p7/P1pP4/B1P2NPb/4PP1P/R1Q1R1K1 b - - 1 25,0.0,b
r2qr1k1/1p3pb1/1Pp1bnpp/p7/P1pP4/B1P3P1/3NPP1P/1RQ1R1K1 b - - 5 27,0.0,b
r2qr1k1/1p3pb1/1PpN1npp/p7/P2P4/B1P3P1/4PP1P/1bQ1R1K1 w - - 0 30,0.0,w
1r1qn1k1/1p3pb1/1Pp3pp/p7/P2P4/B1P3P1/4PP1P/1Q2R1K1 w - - 1 32,0.0,w
1r2n1k1/1p3pb1/1Pp3pp/p7/P2P4/B1P3P1/4PP1P/1Q2RK1q w - - 5 34,0.0,w
r1bq1rk1/pp2ppbp/2n2np1/2pp4/5P2/2PPBNP1/PP2P1BP/R2Q1RK1 b - - 5 8,0.0,b
r1bq1rk1/pp2ppbp/2n2np1/8/3p1P2/3P1NP1/PP1BP1BP/R2Q1RK1 b - - 1 10,0.0,b
r1q2rk1/pp2ppbp/2n2np1/8/3p1Pb1/1Q1P1NP1/PP1BP1BP/R1R3K1 b - - 5 12,0.0,b
r3r1k1/pp2ppbp/2n1qnp1/8/3p1Pb1/3P1NPP/PP1BP1B1/R1RQ2K1 b - - 0 14,0.0,b
2r1r1k1/pp2ppbp/2n1qnp1/8/Q2p1P2/3P1PPP/PP1B2B1/R1R3K1 b - - 2 16,0.0,b
4r1k1/Qp2ppbp/2r2np1/8/3p1P2/3P1PPP/PP1Bq1B1/R5K1 b - - 0 18,0.0,b
4r1k1/1p2ppbp/5np1/8/3Q1P2/3P1PPP/PPrq4/R5KB b - - 2 20,0.0,b
4r1k1/1p2ppb1/5np1/7p/5P2/3P1PPP/PPr2Q1q/R4K1B b - - 1 22,0.0,b
3rr1k1/pb3p1p/1p3np1/2p1q3/1P2P2n/P2B2NP/4QPP1/2R1R1K1 w - - 0 27,0.0,w
3r2k1/pb2rp1p/1p3np1/2p5/1PB1Pq1n/P5NP/Q4PP1/2R1R1K1 w - - 4 29,0.0,w
6k1/pb3r1p/1p3np1/2P5/4Pq1n/P5NP/Q2r1PP1/2R1R1K1 w - - 1 31,0.0,w
6k1/pb3r1p/1P4p1/8/4n2n/P5NP/3q1PP1/2R1R1K1 w - - 0 33,0.0,w
2R5/p4rkp/1P4p1/8/4b2n/P6P/3q1PP1/4R1K1 w - - 2 35,0.0,w
6k1/p4r1p/1P4p1/6q1/4b2n/P6P/5PP1/5RK1 w - - 2 37,0.0,w
rnbq1rk1/ppp2pbp/3p1np1/4N3/PP6/6P1/1BPPPPBP/R2QK2R b KQ - 0 7,1.0,b
rnb2rk1/ppp2pbp/3q1np1/4P3/PP6/6P1/1BP1PPBP/R2QK2R b KQ - 0 9,1.0,b
rnb2rk1/ppp2pbp/6p1/4P3/Pq4n1/B5P1/2P1PPBP/R2Q1K1R b - - 3 11,1.0,b
rnb1r1k1/ppp2pbp/6p1/4P3/P5n1/B1qQ2P1/R1P1PPBP/5K1R b - - 7 13,1.0,b
rnb1r1k1/ppp2p1p/6p1/q3b3/P5n1/B5P1/R1P1PPBP/3Q1K1R b - - 1 15,1.0,b
rn2r1k1/pBp2p1p/1q2b1p1/4b3/P5n1/B3P1P1/R1P2P1P/3Q1K1R b - - 0 17,1.0,b
Bn2r1k1/p1p2p1p/1q4p1/4b3/P7/B3P1P1/b1P2K1P/3Q3R b - - 0 19,1.0,b
4r1k1/p1p2p1p/1q4p1/n2Bb3/8/B3P1P1/b1P2K1P/3Q3R b - - 1 21,1.0,b
4r1k1/p1p2p1p/1q3bp1/n1BQ4/8/4P1P1/2P2K1P/7R b - - 2 23,1.0,b
6k1/p1Q2p1p/5bp1/n3r3/8/4P1P1/2P2K1P/7R b - - 0 25,1.0,b
8/p1Q2pkp/5bp1/n4r2/8/4P1P1/2P1K2P/7R w - - 4 28,1.0,w
8/1Q3pkp/2n2bp1/1r6/8/4P1P1/2P1K2P/7R w - - 3 30,1.0,w
4Q3/5pkp/5bp1/3n4/8/4P1P1/2P1K2P/7R w - - 3 32,1.0,w
4Q3/5pkp/5bp1/3n4/8/2P1P1P1/4K2P/5R2 w - - 1 34,1.0,w
8/3Q1pkp/4nbp1/8/2P5/4P1P1/4K2P/5R2 w - - 3 36,1.0,w
8/3Q1p1p/5kp1/6n1/2P5/4P1P1/4K2P/8 w - - 0 38,1.0,w
8/5p1p/6p1/2P2kn1/3Q4/4P1P1/4K2P/8 w - - 1 40,1.0,w
3r2k1/pb3ppp/1p3n2/4q3/1PB1P2n/4Q1NP/1r3PP1/2R1R1K1 w - - 3 31,0.0,w
4r1k1/pb3ppp/1p3n2/8/1PBqP2n/Q5NP/1r3PP1/2R2RK1 w - - 7 33,0.0,w
5k2/1Q2rppp/1p3n2/8/1PBqP2n/6NP/1r3PP1/2R2RK1 w - - 1 35,0.0,w
4rk2/5ppp/1p6/8/1PBqn2n/6NP/1r3PP1/Q1R2RK1 w - - 0 37,0.0,w
4rk2/5ppp/1p6/8/1PB1q2n/5P1P/6r1/Q1R2RK1 w - - 0 39,0.0,w
4rk2/5ppp/1p6/8/1PB1q3/5n1P/7r/Q1R1R2K b - - 2 41,0.0,b
5k2/p1rr1ppp/1p3n2/1P2P3/5P1n/R6P/4N1P1/R5K1 b - - 0 40,0.0,b
5k2/p1rr2pp/1p2p3/1P1n4/5P1n/3R3P/4N1P1/R5K1 b - - 1 42,0.0,b
8/p1rrk2p/1p2p1p1/1P1n4/5P1n/3R2PP/4NK2/R7 b - - 0 44,0.0,b
8/p1rrk2p/1p2p1p1/1P1n4/3R1P2/6PP/5K2/R7 b - - 0 46,0.0,b
8/p1rrk2p/1p2p1p1/1P1n4/4RP2/6PP/8/R3K3 b - - 4 48,0.0,b
8/R1r1k2p/1p2p1p1/1P1r4/5P2/2n1R1PP/8/4K3 b - - 0 50,0.0,b
8/r3k2p/1p2p1p1/1r6/5P2/2R3PP/3K4/8 b - - 1 52,0.0,b
8/3rk2p/1p2p1p1/2r5/5P2/R5PP/4K3/8 b - - 5 54,0.0,b
8/3r1k1p/1p2p1p1/8/5P2/4RKPP/2r5/8 b - - 9 56,0.0,b
8/5k1p/1p2p1p1/8/5P2/3R1KPP/3r4/8 b - - 0 58,0.0,b
8/5k1p/1p2p1p1/8/5P2/2r3PP/6K1/8 b - - 3 60,0.0,b
8/5k1p/4p1p1/8/1p3PP1/2r4P/5K2/8 b - - 0 62,0.0,b
8/5k1p/4p1p1/6P1/5P2/1p5r/6K1/8 b - - 0 64,0.0,b
8/5k1p/4p3/5pP1/8/7K/1p6/8 b - - 0 66,0.0,b
8/7p/4p1k1/6P1/5p2/5K2/1p6/8 b - - 1 68,0.0,b
8/7p/4p3/6k1/5p2/5K2/8/1q6 b - - 1 70,0.0,b
