number,loss,texel_scale,error_count
0,0.6928889476458269,196.36060461197005,0
1,0.6927999864104878,151.51106078448845,0
2,0.6929995976317903,373.34277339414797,0
3,0.6930133916526038,389.2832531377076,0
4,0.692973739914167,314.67009946875515,0
5,0.6928435745817665,172.15288232062613,0
6,0.6927119928519394,108.00910486933249,0
7,0.69265646235189,104.73850902902579,0
8,0.6928404286340142,162.77899532363,0
9,0.6929803400863265,319.1898418451161,0
10,0.6929006462712337,213.59435259715588,0
11,0.6930005690627254,348.6997584089763,0
12,0.6929654496475705,288.65390156620526,0
13,0.6929691294153086,294.49626332124535,0
14,0.6929756666719414,297.0218109744312,0
15,0.6929375751876578,249.7023356657342,0
16,0.6929091321800817,213.5633528271309,0
17,0.6929602718303344,271.4306324737007,0
18,0.692911632600333,214.74727871670595,0
19,0.6929135835642117,221.18007015681678,0
20,0.6929289633008349,241.09039884633518,0
21,0.692879254002209,188.4764637666061,0
22,0.6929517307907791,272.7896602226695,0
23,0.6929632436363228,296.2564778954457,0
24,0.6928688904941783,186.4146867593518,0
25,0.6929279685138034,238.58400421266256,0
26,0.6929509813743554,260.94113002705535,0
27,0.6929239027136315,237.66816649832325,0
28,0.6929950796054184,333.67361281138267,0
29,0.6929511134307441,265.4370173568013,0
30,0.6929723598934264,305.0073195877716,0
31,0.6929125545200582,218.58817750632676,0
32,0.6929592569832299,275.62806459288095,0
33,0.6929211685242973,219.06235505778818,0
34,0.6927156564468429,112.56638866388857,0
35,0.6927930127096988,140.46032050828217,0
36,0.692922280390973,229.65548541626723,0
37,0.692831433265686,157.76702268637692,0
38,0.6929227634196791,234.53841501986264,0
39,0.6929427641251793,254.49619109571165,0
40,0.6928432410271346,167.46803690021284,0
41,0.6929504383758511,255.77708656430843,0
42,0.6928682521453231,181.55514905515653,0
43,0.6929723407877544,297.10789091409833,0
44,0.6929367958388728,248.33160601457024,0
45,0.6927075635129648,107.85841905259483,0
46,0.6928791267509772,194.5201661056326,0
47,0.6928413801743224,166.00260664023477,0
48,0.692776191932408,135.4226537403109,0
49,0.6929416836463456,256.26309863285405,0
50,0.6928824197968667,181.84974094498668,0
51,0.6928566211308247,170.95281881198764,0
52,0.6928665679540064,180.78334964078007,0
53,0.6927979521284524,143.25399624566285,0
54,0.6929134026603845,207.549827616041,0
55,0.6929020593661618,197.34837282704035,0
56,0.6928056567725045,150.49662999642513,0
57,0.6928185694451111,153.06688483370687,0
58,0.6928548518709944,168.7534249707689,0
59,0.6928081550400718,143.71036881291587,0
60,0.6929415399812369,240.84296798928528,0
61,0.6927545478279389,121.55222244231136,0
62,0.6928301893358675,160.33505461367895,0
63,0.6928482124142992,164.92643741415043,0
64,0.6927714642697891,133.20423261073688,0
65,0.6927615010599834,123.79875121783293,0
66,0.692869734517076,186.89842102956993,0
67,0.692753790119529,127.1061819548313,0
68,0.6927280293627769,118.56094705123343,0
69,0.6928494838169071,175.9432534033465,0
70,0.6929227466934614,220.79376246951182,0
71,0.6928486043890151,171.37538422267457,0
72,0.6927381162547217,121.43937101093705,0
73,0.6928659842832802,181.04829133527363,0
74,0.6927298397213881,114.13546232028405,0
75,0.6927170086986103,114.20945887735212,0
76,0.6927910173341004,140.47930509661856,0
77,0.6927609743954248,127.09556984764816,0
78,0.6927453955377746,120.95955655267315,0
79,0.6927392073725496,120.40326113481485,0
80,0.692805282297663,142.67013230433398,0
81,0.6928320453586507,162.54678182943908,0
82,0.6928714635964311,186.62580033453588,0
