mg_scale,eg_scale,returncode,wins,losses,draws
1.289164141458136,1.289164141458136,0,1,0,196
1.289164141458136,1.0458755706222358,0,4,0,193
1.0458755706222358,1.289164141458136,0,4,0,193
1.0458755706222358,1.0458755706222358,0,3,0,195
