source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-10.pgn,0,36,5rk1/1p2pp1p/1nbp2p1/8/1PP1P3/2N2P2/4B1PP/R5K1 w - - 0 19,w,91.0,0-1,0.0,b,1.0
lichess_elite_2014-10.pgn,0,40,n5k1/1p2pp1p/2bp2p1/8/1PP1P3/2N2P2/4B1PP/6K1 w - - 0 21,w,90.0,0-1,0.0,b,1.0
lichess_elite_2014-10.pgn,0,44,6k1/2n1pp1p/1pbp2p1/8/1PP1P3/2N1KP2/4B1PP/8 w - - 2 23,w,101.0,0-1,0.0,b,1.0
lichess_elite_2014-10.pgn,0,76,8/8/1p1p4/1n1Pp1k1/1P2PpPp/5B2/6K1/8 w - - 4 39,w,-595.0,0-1,0.0,b,1.0
lichess_elite_2014-10.pgn,3,20,r1b2rk1/p4ppp/2pbpq2/2p5/5P2/3P1N2/PPP3PP/R1BQ1RK1 w - - 3 11,w,49.0,1-0,1.0,w,1.0
lichess_elite_2014-10.pgn,9,80,8/1pp2kp1/1nnp3p/8/p1PP4/2K2P1P/5BP1/8 w - - 0 41,w,-586.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-10.pgn,12,12,r2qkb1r/pp1n1ppp/2p1pn2/3p4/3P2b1/1P3NP1/P1P1PPBP/RNBQ1RK1 w kq - 1 7,w,-24.0,1-0,1.0,w,1.0
lichess_elite_2014-10.pgn,14,12,r2qkb1r/ppp1pppp/2b2n2/8/3P4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 7,w,43.0,0-1,0.0,b,1.0
lichess_elite_2014-10.pgn,15,16,rn2k2r/pp3ppp/2pbpn2/q4b2/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 w kq - 1 9,w,25.0,1-0,1.0,w,1.0
lichess_elite_2014-10.pgn,15,40,r2qk1r1/pp3p2/1np1p1bB/8/3P1PPp/2N1n3/PPP1B2P/1R1Q1RK1 w q - 3 21,w,0.0,1-0,1.0,w,1.0
lichess_elite_2014-10.pgn,19,80,6k1/p6p/6p1/2p5/5P2/1K2p3/PP6/8 w - - 0 41,w,-634.0,0-1,0.0,b,1.0
lichess_elite_2014-10.pgn,21,36,r2rn1k1/5ppp/1ppp1n2/8/2P1P3/2N2B2/P4PPP/2R1R1K1 w - - 0 19,w,6.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-10.pgn,22,44,2r2rk1/5pp1/p1n1p3/7p/Pp3B2/6PP/1PP2P2/2KR3R w - - 1 23,w,88.0,1-0,1.0,w,1.0
lichess_elite_2014-10.pgn,22,56,3r2k1/5pp1/8/p6p/Pp1p4/6PP/1PPK1P2/3R4 w - - 0 29,w,178.0,1-0,1.0,w,1.0
lichess_elite_2014-10.pgn,23,36,4k2r/pp2bpp1/4pnp1/3p4/N2P1BP1/P6P/2r2PK1/R6R w k - 0 19,w,-180.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-10.pgn,23,44,5rk1/p3bpp1/1p2pnp1/3p4/3P1BP1/P6P/1N3PK1/2R5 w - - 1 23,w,-211.0,1/2-1/2,0.5,d,1.0
