source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-08.pgn,2,20,r2qk2r/pb2bppp/1p1ppn2/2n5/2P1P3/1PNB4/P3NPPP/R1BQ1RK1 w kq - 7 11,w,39.0,1-0,1.0,w,1.0
lichess_elite_2014-08.pgn,3,12,r1b1kb1r/ppp2pp1/2nppq1p/8/3PP3/2PB4/PP3PPP/RN1QK1NR w KQkq - 2 7,w,29.0,1-0,1.0,w,1.0
lichess_elite_2014-08.pgn,3,16,r3kb1r/pppb1p2/2nppqpp/8/3PP3/2PB4/PP2NPPP/RN1Q1RK1 w kq - 0 9,w,81.0,1-0,1.0,w,1.0
lichess_elite_2014-08.pgn,3,20,r3k2r/pppbqpb1/2npp1pp/8/3PPP2/2PB4/PP1NN1PP/R2Q1RK1 w kq - 3 11,w,83.0,1-0,1.0,w,1.0
lichess_elite_2014-08.pgn,5,64,3r1k2/p5pp/3n4/3N4/2R1P3/6P1/5P1P/6K1 w - - 3 33,w,31.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-08.pgn,12,16,r1bq1rk1/ppp1npbp/3p1np1/3Pp3/4P3/2N3P1/PPP1NPBP/R1BQ1RK1 w - - 1 9,w,26.0,1-0,1.0,w,1.0
lichess_elite_2014-08.pgn,13,64,8/pp3pk1/2p2pp1/2P5/7P/3q1P2/P5P1/4Q2K w - - 1 33,w,-226.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,13,68,8/pp3pk1/2p2pp1/2q5/7P/5PK1/P5P1/4Q3 w - - 0 35,w,-458.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,13,72,8/pp3pk1/2p3p1/4p3/7P/5PK1/P5P1/8 w - - 0 37,w,-427.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,13,76,8/pp3pk1/6p1/4p1K1/2p4P/5P2/P5P1/8 w - - 0 39,w,-728.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,18,72,8/pp3k2/2p5/8/PP6/8/1KP5/8 w - - 0 37,w,0.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-08.pgn,18,76,8/pp6/2pk4/8/PP1K4/8/2P5/8 w - - 4 39,w,0.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-08.pgn,19,36,3r2k1/ppp2pp1/3rp1p1/n7/3P1P2/P1P4P/1P2N1P1/1R3RK1 w - - 1 19,w,-26.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,19,40,3r2k1/ppp2pp1/1r2p1p1/8/2nP1P2/P1P4P/1P2NRP1/3R2K1 w - - 5 21,w,-156.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,19,44,3r2k1/ppp2pp1/2r1p1p1/8/1P1P1PP1/n1P4P/4NR2/3R2K1 w - - 1 23,w,-155.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,24,72,1k5r/1pp5/8/3Pq3/1PB4p/PKN5/2Q5/8 w - - 0 37,w,-34.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,25,56,8/ppk5/2p1p1pp/4P3/8/5P2/PPP4P/2K5 w - - 1 29,w,-16.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-08.pgn,25,80,8/8/4p1p1/4P2p/2k1KP1P/p7/P7/8 w - - 0 41,w,0.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-08.pgn,26,48,r1b3k1/3n1p1p/pp1Bpbp1/8/2P1P3/1N3P2/PP1RB1PP/6K1 w - - 0 25,w,232.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,30,32,r2r2k1/4ppbp/1q4p1/2n5/3Nb3/P3P2B/1P2QPPP/R1BR2K1 w - - 1 17,w,41.0,0-1,0.0,b,1.0
lichess_elite_2014-08.pgn,31,20,rn1k1b1r/pp3ppp/2p3b1/4n1P1/2P1P3/2N5/PP5P/R1B1KBNR w KQ - 0 11,w,-35.0,1-0,1.0,w,1.0
