source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-07.pgn,0,36,2k1r2r/ppp3p1/1b1pp3/nP2p1Bp/4P2N/2q4P/P2N1PP1/R3QR1K w - - 0 19,w,482.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,1,36,2kr1b1r/1pp3pp/5pn1/np6/3P4/4BNNP/PP3PP1/R4RK1 w - - 0 19,w,-34.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,1,52,2k1r3/1p4pp/2p2pn1/1p1r4/1n1P4/bP2BN1P/P2RNPP1/3R2K1 w - - 0 27,w,93.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,3,64,8/pp1k1pp1/1n2p1p1/3p2P1/3P1P1r/P1B2R1P/1PPK4/8 w - - 3 33,w,-1.0,0-1,0.0,b,1.0
lichess_elite_2014-07.pgn,3,68,7r/pp1k1pp1/4p1p1/3p2P1/2nP1P2/P2K1R1P/1PP5/4B3 w - - 7 35,w,-34.0,0-1,0.0,b,1.0
lichess_elite_2014-07.pgn,3,72,7r/1p1k1pp1/p2np1p1/3p2P1/P2P1P2/2BK1R1P/1PP5/8 w - - 0 37,w,-17.0,0-1,0.0,b,1.0
lichess_elite_2014-07.pgn,3,76,7r/3k1pp1/3np1p1/1p1p2P1/3P1P2/3K1R1P/1PP5/4B3 w - - 0 39,w,-46.0,0-1,0.0,b,1.0
lichess_elite_2014-07.pgn,3,80,r7/3k1pp1/4p1p1/1p1p1nP1/3P1P2/2P2R1P/1P2K3/4B3 w - - 1 41,w,-153.0,0-1,0.0,b,1.0
lichess_elite_2014-07.pgn,7,12,r1bqk2r/pp2ppbp/2p2np1/2p5/4P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 1 7,w,27.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,7,16,r1bq1rk1/p3ppbp/1pp2np1/2p5/P3P3/3P1N1P/1PP2PP1/RNBQ1RK1 w - - 0 9,w,74.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,7,64,8/8/1ppNkpn1/p1p1p2p/P1P1P3/1PP4P/5PP1/6K1 w - - 1 33,w,195.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,7,68,8/3k4/1pp2p2/p1p1pN1p/P1P1Pn2/1PP4P/5PP1/5K2 w - - 5 35,w,259.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,7,76,8/3k4/2p2p2/p1p1pN2/P1P1P1pP/2Pn4/5P2/5K2 w - - 0 39,w,388.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,10,36,r2r2k1/1p3pp1/p1n1b3/4p1p1/P1P5/5P2/1PN1B1PP/R4RK1 w - - 0 19,w,-77.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,11,72,4r1k1/p1p5/3p3p/2b4P/1p3NP1/5R2/2q5/5K1R w - - 2 37,w,-959.0,0-1,0.0,b,1.0
lichess_elite_2014-07.pgn,12,16,rn1q1rk1/ppp1bppp/1n1p4/8/2PP2b1/2N1BN2/PP3PPP/R2QKB1R w KQ - 6 9,w,81.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,15,44,4k3/1pp2ppp/p2p2n1/8/3N4/6P1/PPPK1P1P/8 w - - 0 23,w,-178.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,15,48,8/1ppknppp/p2p4/8/2PN1P2/6P1/PP1K3P/8 w - - 1 25,w,-218.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,15,60,8/1pp4p/2np1kp1/p4p2/2P2P2/PP2K1P1/2N4P/8 w - - 2 31,w,-147.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,15,64,3n4/1pp4p/3p1kp1/5p2/1PP2P2/4K1P1/2N4P/8 w - - 1 33,w,-137.0,1-0,1.0,w,1.0
lichess_elite_2014-07.pgn,17,40,r5k1/ppp3p1/4q1n1/3pn2p/5p2/5P2/PPPN1NPP/2KR1B1R w - - 2 21,w,-386.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-07.pgn,21,16,rnbq1rk1/pp2bppp/1n1pp3/8/2PP4/2N1B3/PP3PPP/2RQKBNR w K - 4 9,w,67.0,1-0,1.0,w,1.0
