source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-11.pgn,2,16,r2q1rk1/pbpnbppp/1p1ppn2/8/3PP3/3B1N2/PPPNQPPP/R1B2RK1 w - - 1 9,w,44.0,0-1,0.0,b,1.0
lichess_elite_2014-11.pgn,5,36,5rk1/1pq2pb1/2ppb2p/4n1p1/1PP5/2N1P1P1/3NBPP1/Q2R2K1 w - - 2 19,w,-30.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,11,56,5b1r/8/1N1pk3/4p1pp/PP2Pp1n/B4P2/4KP1P/R1R5 w - - 1 29,w,562.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,13,12,r1bq1rk1/ppp1ppbp/2np1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 1 7,w,45.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,13,16,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - - 0 9,w,55.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,13,20,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3PP/PP1NPPB1/R1BQ1RK1 w - c6 0 11,w,-17.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,13,60,2b5/5pkp/pn1p2p1/n1pP4/2P2PP1/5B1P/P2NN2K/8 w - - 2 31,w,-126.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,13,64,2b5/5pkp/p2p2p1/2pP4/2n2PP1/2N2B1P/P6K/8 w - - 0 33,w,-110.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,13,80,8/1b2k2p/pn1p2p1/2pP4/5PP1/2NK1B2/P7/8 w - - 5 41,w,-92.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,14,12,r1b1kb1r/ppp2pp1/2nppq1p/8/3PP3/2PB4/PP3PPP/RN1QK1NR w KQkq - 2 7,w,24.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,14,16,r3kb1r/pppb1p2/2nppqpp/8/3PP3/2PB4/PP2NPPP/RN1Q1RK1 w kq - 0 9,w,82.0,1-0,1.0,w,1.0
lichess_elite_2014-11.pgn,14,20,2kr3r/pppb1pb1/2nppqpp/8/3PPP2/2PB4/PP1NN1PP/R2Q1RK1 w - - 3 11,w,190.0,1-0,1.0,w,1.0
