source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-12.pgn,2,12,rnbq1rk1/pp2bppp/4pn2/2pp4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w - - 0 7,w,-14.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,2,24,r2r2k1/pbq1bppp/1pn1pn2/2p5/4P3/2P2NP1/PP2QPBP/R1B1RNK1 w - - 1 13,w,28.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,3,24,r3k2r/pp1qbppp/3n1n2/3p4/3N4/1N3P2/PPP3PP/R1BQ1RK1 w kq - 1 13,w,11.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-12.pgn,3,28,r1q2rk1/pp2bppp/3n1n2/3p4/3N4/3N1P2/PPP3PP/R1BQ1RK1 w - - 5 15,w,20.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-12.pgn,6,12,rnbq1rk1/ppp1ppbp/5np1/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7,w,21.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,6,40,5rk1/p2nppbp/2q3p1/8/1r1PP3/3Q2P1/PN3PKP/R1B2R2 w - - 3 21,w,-163.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,6,60,2r3k1/1q2p2p/4PppB/2nP4/8/bp4P1/4QP1P/3R2K1 w - - 0 31,w,-387.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,6,76,2r3k1/4p2p/4PppB/3P4/8/n5P1/1p3PKP/1q6 w - - 0 39,w,-99991.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,9,60,3r1k2/5Pp1/2p4p/pp2P3/4P3/1BP5/P5P1/6K1 w - - 0 31,w,-449.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,11,44,rkb5/1p4pp/p2r4/4p3/8/P1PPP3/2P3PP/R4RK1 w - - 0 23,w,-281.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,12,20,rnb2rk1/ppp2pb1/3p1qpp/8/3PP3/3B4/PP1NNPPP/R2Q1RK1 w - - 1 11,w,-12.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,12,24,r1b2rk1/ppp1qpb1/2np2pp/8/3PPP2/3B1N2/PP2N1PP/R2Q1RK1 w - - 3 13,w,86.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,12,36,r3r1k1/ppp2pb1/3p3p/5b2/3P1N2/3Nq3/PP4PP/R2Q1R1K w - - 0 19,w,-230.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,17,68,r7/2p3k1/3p2p1/2nPp1q1/4Pb2/2N2B2/PP2Q3/R4K2 w - - 5 35,w,-209.0,0-1,0.0,b,1.0
lichess_elite_2014-12.pgn,18,28,r3k2r/1p1b1ppp/1q2p3/pP1pPn2/Pb1P4/4PN2/4BKPP/RN1Q3R w kq - 3 15,w,-94.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,18,32,r4rk1/1p1bnppp/1q2p3/pP1pP3/Pb1P2P1/4PN2/3NBK1P/R2Q3R w - - 3 17,w,-79.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,18,68,5k2/3b1pp1/1p2p3/pP1pP3/Pb1P4/3BPNnP/3N4/3K4 w - - 2 35,w,-31.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,19,12,r1b1kb1r/ppp2pp1/2nppq1p/8/3PP3/2PB4/PP3PPP/RN1QK1NR w KQkq - 2 7,w,21.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,21,24,r3k2r/pppb1ppp/2nbp3/7q/2PP4/4BPP1/PP2NKB1/RN1Q4 w kq - 2 13,w,-208.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,22,16,r3kb1r/pp1bnppp/1qn1p3/3pP3/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq - 1 9,w,69.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,22,36,r4rk1/1p1bqppp/8/pP2Pp2/3P4/P3PN2/5KPP/R2Q3R w - - 0 19,w,136.0,1-0,1.0,w,1.0
lichess_elite_2014-12.pgn,25,32,r1bqk2r/pp2bppp/1np1p3/8/3P1BPP/2N5/PPPQ1P2/1K1R1B1R w kq - 1 17,w,206.0,1-0,1.0,w,1.0
