source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2013-11.pgn,0,16,r1bq1rk1/1p1pnpbp/p1n1p1p1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - - 0 9,w,-4.0,0-1,0.0,b,1.0
lichess_elite_2013-11.pgn,0,24,r1bqr1kb/1p1pnp1p/p3p1pB/8/2PpP3/2NP2P1/PP1Q1PBP/R4RK1 w - - 0 13,w,59.0,0-1,0.0,b,1.0
lichess_elite_2013-11.pgn,1,12,rnbq1rk1/ppp1npbp/3p2p1/4p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR w KQ - 0 7,w,13.0,1/2-1/2,0.5,d,1.0
lichess_elite_2013-11.pgn,2,52,8/3nk1pp/r3p3/p2p1p2/N7/1P2P1PP/P4P2/2R2K2 w - - 4 27,w,132.0,1/2-1/2,0.5,d,1.0
