source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2015-01.pgn,0,16,rnbqr1k1/ppp2pbp/3p1np1/8/2PNP3/2N5/PP2BPPP/R1BQ1RK1 w - - 1 9,w,57.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,1,72,7k/pp2K2P/1n3P2/3p3b/3P4/1P1B4/P7/8 w - - 1 37,w,550.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,1,76,7k/pp1K1b1P/8/3p4/3P4/1P1B4/P7/8 w - - 0 39,w,618.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,2,28,5rk1/pp1bppbp/3p1np1/q7/2rNP2P/2N1BP2/PPPQ2P1/1K1R3R w - - 1 15,w,112.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,4,12,r1bqkb1r/pp2pppp/2p2n2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 7,w,34.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,5,12,r1bqk2r/ppp2pbp/2nppnp1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq - 1 7,w,56.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,5,68,8/p1p4p/1p1p1k2/3P1p2/2P5/6PP/PP5K/8 w - - 0 35,w,-383.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,5,72,8/p1p4p/1p1p4/3P1p2/2Pk4/5KPP/PP6/8 w - - 4 37,w,-70.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,5,80,8/2p4p/3p4/1p1k1K2/8/1P4PP/P7/8 w - - 0 41,w,-23.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,8,64,8/1p4p1/p1bkpp1p/8/3K1P2/6PP/PPB5/8 w - - 0 33,w,-150.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,9,36,1r3rk1/p2qnpbp/3pb1p1/2p1p3/4P3/2N3P1/PPQB1PBP/R1R3K1 w - - 1 19,w,-227.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,10,32,r2q1rk1/3n1ppp/3bp3/1P1p1n2/N2P4/P4N2/1B3PPP/R2Q1RK1 w - - 1 17,w,131.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,11,12,rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 0 7,w,65.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,12,12,rnbq1rk1/ppp1p1bp/3p1np1/5p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w - - 0 7,w,35.0,1/2-1/2,0.5,d,1.0
lichess_elite_2015-01.pgn,12,16,r1bq1rk1/pp1np1bp/2pp1np1/5p2/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 1 9,w,54.0,1/2-1/2,0.5,d,1.0
lichess_elite_2015-01.pgn,16,72,6k1/N4pp1/4p2p/8/4n3/6P1/P4P1P/6K1 w - - 0 37,w,42.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,16,76,8/4kpp1/4p2p/1N6/4n3/6P1/P4P1P/5K2 w - - 4 39,w,16.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,16,80,8/3k1pp1/4p2p/1Nn5/8/4K1P1/P4P1P/8 w - - 8 41,w,28.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,21,16,r2qkb1r/pp2npp1/2n1p3/3pPb1p/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq - 1 9,w,4.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,23,12,rn2kb1r/pp2pppp/2pq1n2/8/6b1/3P1N2/PPP1BPPP/RNBQ1RK1 w kq - 1 7,w,56.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,23,16,rn2k2r/pp2bppp/2pqpn2/8/6b1/P1NP1N2/1PP1BPPP/R1BQ1RK1 w kq - 2 9,w,8.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,24,72,1B6/1p1k3p/p1p1npp1/8/3P3P/P1P3P1/1P2KP2/8 w - - 4 37,w,214.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,24,76,8/1p1k1n1p/p1p2pp1/8/3P2PP/P1P3B1/1P2KP2/8 w - - 3 39,w,209.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,31,12,r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq - 4 7,w,47.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,31,20,r2qk2r/pp3ppp/2p1p1n1/3pPn2/3P2b1/1P3N2/P1PNBPPP/R2Q1RK1 w kq - 2 11,w,-8.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,31,24,r2q1rk1/pp3ppp/2p1p1n1/3pPn2/3P4/1P3N1P/P1P1BPP1/R2Q1RK1 w - - 1 13,w,34.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,31,68,6k1/p1r3p1/4p2p/P2pP3/3q4/4RP1P/5QP1/6K1 w - - 1 35,w,-37.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,34,12,r1bqk2r/pp1pppbp/2n3p1/2p2n2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 5 7,w,10.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,34,16,r1bq1rk1/1p1pppbp/2n3p1/p1p2n2/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 w - - 0 9,w,11.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,34,20,r2q1rk1/1p1bppbp/2np2p1/p1p2n2/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - - 2 11,w,21.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,34,68,8/5pk1/6p1/4r2p/8/4P1PP/1R3PK1/8 w - - 1 35,w,7.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,34,76,8/5pk1/4r1p1/6P1/8/4P1K1/1R3P2/8 w - - 1 39,w,27.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,34,80,8/5pk1/6p1/r5P1/5P2/1R2P1K1/8/8 w - - 1 41,w,15.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,35,12,rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N4P/PP3PP1/R1BQKBNR w KQ - 1 7,w,68.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,36,16,rnb2rk1/pp2ppbp/6p1/2pq4/8/5NP1/PP1PPPBP/R1BQ1RK1 w - - 0 9,w,7.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,38,56,1b1r3k/6p1/pp5p/1N2pp2/2P5/4P1P1/P4P1P/2R3K1 w - - 0 29,w,5.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,40,72,8/8/p1r3p1/Pp3pk1/1P6/2PRP3/4K1P1/8 w - - 1 37,w,68.0,1/2-1/2,0.5,d,1.0
lichess_elite_2015-01.pgn,41,68,8/5k1p/5B2/3p4/3P4/4P3/5PPP/5K2 w - - 1 35,w,700.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,43,12,rnbq1rk1/pp2ppbp/5np1/2pp4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w - - 0 7,w,-25.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,47,48,2rr1k2/p4pp1/1p2p2p/8/b4P2/2PNK1P1/PP5P/3RR3 w - - 2 25,w,-18.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,47,52,2rrbk2/p5p1/1p2pp1p/8/2P2P2/1P1NK1P1/P6P/3RR3 w - - 0 27,w,-2.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,47,72,3k4/p7/1p2pp2/6p1/2P1K1P1/1P5P/P7/8 w - - 0 37,w,-37.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,47,80,8/p3k3/1p2pp2/6p1/1PP1K1P1/P6P/8/8 w - - 5 41,w,-22.0,0-1,0.0,b,1.0
lichess_elite_2015-01.pgn,52,44,r4rk1/ppq3pp/2p1p1b1/2PpPpP1/1P1BnP2/P3P3/4B2P/R2Q1R1K w - - 3 23,w,14.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,52,52,rr2b1k1/p1q3pp/2p1p3/2PpPpPP/3BnP2/P3P3/4B3/R3QR1K w - - 1 27,w,20.0,1-0,1.0,w,1.0
lichess_elite_2015-01.pgn,52,56,r3b1k1/p1q4p/2p1p1pP/2PpPpP1/3BnP2/Pr2P3/4B1K1/R3QR2 w - - 2 29,w,34.0,1-0,1.0,w,1.0
