source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-06.pgn,5,12,r1b1kb1r/pp2pp1p/2n2np1/2pq4/8/2P2N2/PP1PBPPP/RNBQ1RK1 w kq - 0 7,w,59.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,6,52,7k/5pp1/B3p3/4P3/1p3b2/8/PPr2PPP/1R4K1 w - - 3 27,w,8.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,6,56,7k/5pp1/B3p3/8/Pp1b4/1P6/2r2PPP/1R4K1 w - - 1 29,w,12.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,10,12,rnb1kb1r/ppq1pppp/2p2n2/8/3P4/2N2N2/PPPB1PPP/R2QKB1R w KQkq - 6 7,w,101.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,12,16,2kr1b1r/pppq1ppp/2n1pn2/8/3P2b1/2N1BN2/PPP1BPPP/R2Q1RK1 w - - 2 9,w,14.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,12,44,8/bpp1kpp1/p3p1n1/4P2p/1PP1N3/P5P1/1B3P1P/6K1 w - - 1 23,w,65.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,12,52,8/bppnkpp1/p3p3/4P3/1PP1NP2/P4KP1/1B6/8 w - - 3 27,w,35.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,12,56,8/2pnkpp1/pb2p3/4P3/1P2NP2/P4KP1/1B6/8 w - - 0 29,w,29.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,14,20,r2q1k1r/pp1n1ppb/2p1p2p/3pPn2/3P4/1P3N1P/P1P1BPP1/RN1Q1RK1 w - - 0 11,w,85.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-06.pgn,15,16,rn1q1rk1/1bp2ppp/1p1ppn2/p7/1bPP4/2N2NP1/PP1BPPBP/R2Q1RK1 w - - 0 9,w,38.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,15,60,4r3/2p2pk1/1p1p1np1/pP1P4/2P2PPp/1n3B1P/4N1K1/5R2 w - - 0 31,w,-373.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,15,72,4r3/2p2pk1/1p1p2p1/1PnP2P1/2P2P1p/5B1P/p5K1/2R5 w - - 0 37,w,-548.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,17,36,2r1r1k1/pp1b1ppp/2n1p2q/4P3/3P1P2/B3Q3/P3B1PP/R4RK1 w - - 5 19,w,149.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,18,20,r2qkb1r/pp3pp1/2n1pnp1/3p4/3P1B2/2P4P/PP2NPP1/RN1Q1RK1 w kq - 0 11,w,15.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,20,28,3rkb1r/pp2pppp/8/8/2n5/2P5/PP3PPP/RNB2RK1 w k - 0 15,w,6.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,20,32,3rkb1r/1p2pppp/p2n4/8/8/1PP1B3/P4PPP/RN3RK1 w k - 0 17,w,16.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,20,36,2r1kb1r/1p3ppp/pB1np3/8/2P5/1P6/P4PPP/RN3RK1 w k - 0 19,w,11.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,20,40,4k2r/1p2bppp/pBrnp3/8/2P5/1P6/P2N1PPP/3R1RK1 w k - 4 21,w,13.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,21,16,r1bq1rk1/1pp1bppp/p1n1pn2/8/2pP4/2N1PNP1/PP3PBP/R1BQ1RK1 w - - 0 9,w,-31.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,21,56,6k1/3n2pp/p1p1bp2/1p6/4PP2/P5PP/1P4B1/3N2K1 w - - 0 29,w,23.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,21,80,8/4k1pp/8/npK1P3/2b4P/3N2P1/6B1/8 w - - 2 41,w,0.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,22,16,r1bq1rk1/pp3ppp/2nbp3/2pn4/8/2P2NP1/PP1P1PBP/RNBQ1RK1 w - - 2 9,w,14.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,25,12,rn2kb1r/pp2pppp/2p2n2/q7/2PP2b1/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 7,w,99.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,27,16,r1bqr1k1/pppnbppp/3p1n2/8/3NP3/2N5/PPP1BPPP/R1BQR1K1 w - - 9 9,w,43.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,27,64,8/1p3p2/2p3k1/p4p1p/P6P/1P3KP1/5R2/R1Brr3 w - - 0 33,w,-22.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,27,80,8/1p6/2p2pk1/p4p1p/P6P/1P3KPr/3R1R2/6r1 w - - 6 41,w,-339.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,29,16,r1b1kb1r/pp3ppp/1qn1p3/3pPn2/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq - 1 9,w,28.0,1-0,1.0,w,1.0
lichess_elite_2014-06.pgn,30,24,3r1rk1/ppp2ppp/2n2n2/3q3b/3P4/2P1BN1P/P3BPP1/R2Q1RK1 w - - 3 13,w,59.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,31,16,2kr1bnr/ppp1pqpp/2n2p2/5b2/3P4/2N2N1P/PPP1BPP1/R1BQ1RK1 w - - 3 9,w,114.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-06.pgn,31,28,2kr2nr/ppp3pp/2n2p2/2b5/8/5N1P/PPP1NPP1/R1B2RK1 w - - 1 15,w,4.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-06.pgn,31,32,2k1r2r/ppp3pp/2n2p1n/2b5/5N2/5N1P/PPPB1PP1/R4RK1 w - - 5 17,w,83.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-06.pgn,31,36,2k1r2r/ppp4p/2nb1p1p/8/8/3N1N1P/PPP2PP1/R4RK1 w - - 0 19,w,86.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-06.pgn,32,12,rn2kb1r/pp2pppp/2p2n2/q4b2/3P4/2N2N2/PPPB1PPP/R2QKB1R w KQkq - 5 7,w,64.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,34,20,rn1q1rk1/pb3ppp/1p1pp3/8/1n1P4/4PN2/PP2BPPP/RN1Q1RK1 w - - 2 11,w,36.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,34,56,3qr1k1/3b1pp1/p2p3p/1p1Pp3/1P2Pn2/P4P2/2QN2PP/1B2R1K1 w - - 1 29,w,-119.0,0-1,0.0,b,1.0
lichess_elite_2014-06.pgn,34,64,6k1/3b1pp1/p2p3p/1p1Pp1q1/1P2P3/PNrn1P2/B4QPP/4R2K w - - 9 33,w,-574.0,0-1,0.0,b,1.0
