source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-09.pgn,2,36,r2r2k1/pb3ppp/1p2pn2/7q/3P1n2/4NN2/PP2BPPP/R2Q1RK1 w - - 12 19,w,-228.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,2,44,r5k1/p4ppp/1p2pn2/8/3r4/4NP2/PP3P1P/R3R1K1 w - - 0 23,w,-234.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,3,12,rnb1kb1r/pp2pppp/2p2n2/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 7,w,77.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,12,52,5rk1/5ppp/p1p2b2/Pp6/8/2pP4/5PPP/R3R1K1 w - - 0 27,w,-401.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,12,80,8/5k2/r5p1/P7/3b1PK1/2pp4/7P/8 w - - 0 41,w,-99991.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,13,12,rnbq1rk1/pp2ppbp/2pp1np1/8/2PPP3/2N2N1P/PP3PP1/R1BQKB1R w KQ - 0 7,w,82.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,15,52,2k5/pn2pp2/1p4p1/3pP1Pp/1P3P2/P2KP1P1/3N4/8 w - - 0 27,w,31.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,15,72,8/5p2/p1k1p1p1/Pp1pP1Pp/1P3P2/3KP1P1/8/8 w - - 0 37,w,0.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,15,76,8/5p2/p1k1p1p1/Pp1pP1Pp/1P1K1P2/4P1P1/8/8 w - - 4 39,w,0.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,15,80,8/3k1p2/p3p1p1/Pp2P1Pp/1P2KP2/6P1/8/8 w - - 1 41,w,0.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,17,76,3r1k2/p7/2p5/2P2P1p/1R1PP3/P4p2/7P/6K1 w - - 0 39,w,511.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,20,12,r1b1kbnr/pppp1ppp/8/4P3/1n6/2N2N2/PqPBPPPP/R2QKB1R w KQkq - 2 7,w,275.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,23,36,2kr1b2/pp3p2/2p2p1r/7p/2P2p2/2N4P/PP3P2/R4RK1 w - - 0 19,w,-206.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,23,40,2k2b2/pp3p2/2p4r/5p1p/2P2p2/2Nr3P/PP3P2/R4RK1 w - - 2 21,w,-398.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,29,68,5k2/1b3pp1/p2p4/5B2/8/2P5/P4PPP/4K3 w - - 1 35,w,315.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,29,72,2b5/4kpp1/p2p4/8/4B3/2P2P2/P5PP/4K3 w - - 3 37,w,321.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,36,16,r1b1kb1r/p1ppqppp/1np5/4P3/2P5/8/PP2QPPP/RNB1KB1R w KQkq - 1 9,w,9.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,36,20,r3kb1r/pbppqp1p/1np3p1/4P3/2P2P2/2N5/PP2Q1PP/R1B1KB1R w KQkq - 0 11,w,65.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,36,68,8/p1k1r3/2p4p/6p1/8/3K2P1/PP1R3P/8 w - - 2 35,w,10.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,38,12,rnb1k1nr/ppp2ppp/8/8/1bpq4/2N5/PP2PPPP/R1B1KBNR w KQkq - 2 7,w,-711.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,42,24,2kr3r/pb1q1ppp/1p1ppb2/2p5/4PP2/2NP2P1/PPP3BP/R2Q1RK1 w - - 0 13,w,-30.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,42,52,1k1r4/p2r3p/1p2p3/4b3/4N3/2P3P1/PP5P/R3R1K1 w - - 1 27,w,328.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,46,28,r4rk1/pbq1nppp/4p3/n1p5/4P3/2PB1N2/P1Q2PPP/R1BR2K1 w - - 2 15,w,67.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,47,32,r1bqrbk1/2p2p2/1p1p1npp/p1nPp3/2P1P3/2N1NPP1/PPB1Q2P/R1B2RK1 w - - 0 17,w,95.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,47,36,r2qr1k1/2pb1pb1/1p1p1npp/p1nPp3/2P1P1P1/2N1NP2/PPB1Q2P/R1B2R1K w - - 1 19,w,103.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,49,20,r3kb1r/pp2nppp/1qn1p3/3pP3/1P1P4/P3BP2/5P1P/RN1QKB1R w KQkq - 1 11,w,43.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,51,64,8/8/4pk1p/6p1/r7/6P1/P1R2PP1/6K1 w - - 0 33,w,14.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,58,16,r2qkb1r/pp3ppp/2n1p3/3pPn2/3P2b1/5N2/PP2BPPP/RNBQ1RK1 w kq - 3 9,w,-98.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,58,20,r3k2r/pp3ppp/1qn1p3/3pPn2/1b1P2b1/4BN2/PP1NBPPP/R2Q1RK1 w kq - 7 11,w,-69.0,0-1,0.0,b,1.0
lichess_elite_2014-09.pgn,60,24,r3k2r/ppqn1pp1/2pbp1p1/6B1/2PPp3/4P2P/PP3PP1/2RQKB1R w Kkq - 0 13,w,-29.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,60,32,r6r/pp2kpp1/2p1pnp1/q1P5/3Pp3/P1R1P2P/1P3PP1/3QKB1R w K - 1 17,w,-39.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,61,16,r1b1kb1r/p1ppqppp/1np5/4P3/2P5/8/PP2QPPP/RNB1KB1R w KQkq - 1 9,w,9.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,61,20,r3kb1r/2ppqppp/bnp5/p3P3/2P2P2/2N5/PP2Q1PP/R1B1KB1R w KQkq - 1 11,w,29.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,62,12,r2qkb1r/pp2pppp/2n2n2/3p4/3P2b1/1P3N2/PBP2PPP/RN1QKB1R w KQkq - 1 7,w,-27.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,62,20,r2q1rk1/pp3ppp/2nbpn2/3p3b/3P4/1P3N1P/PBPNBPP1/R2Q1RK1 w - - 4 11,w,-15.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,62,68,8/5p2/p3npk1/2B5/1P1R2P1/8/5P1K/1r6 w - - 1 35,w,-3.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,65,16,r1b1kb1r/p1ppqppp/1np5/4P3/2P5/8/PP2QPPP/RNB1KB1R w KQkq - 1 9,w,11.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,67,16,r1b1kb1r/p1ppqppp/1np5/4P3/2P5/8/PP2QPPP/RNB1KB1R w KQkq - 1 9,w,9.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,67,80,8/7p/5k2/2P3p1/6K1/8/5P1P/8 w - - 2 41,w,733.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,68,72,6k1/B6p/2p5/3b4/6p1/P3P3/3K2PP/8 w - - 0 37,w,144.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,68,76,8/B6p/2p1k3/3b4/6p1/P1K1P1P1/7P/8 w - - 3 39,w,123.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,68,80,8/B7/2p1k3/7p/3KP1p1/Pb4P1/7P/8 w - - 0 41,w,155.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,70,16,r1b1kb1r/p1ppqppp/1np5/4P3/2P5/8/PP2QPPP/RNB1KB1R w KQkq - 1 9,w,12.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,75,12,rn2kb1r/pp2pppp/2pq1n2/8/2PP2b1/2N2N2/PP3PPP/R1BQKB1R w KQkq - 2 7,w,128.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,75,20,rn3rk1/pp2bppp/2pqpn2/7b/2PP4/2N1BN1P/PP2BPP1/R2Q1RK1 w - - 5 11,w,145.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,78,16,r3kbnr/pp3ppp/1qn1p3/3pP3/1P1P2b1/P4N2/5PPP/RNBQKB1R w KQkq - 1 9,w,2.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,78,20,r3kb1r/pp3ppp/1qn1p3/3pPn2/1P1P2b1/P4N2/1B1N1PPP/R2QKB1R w KQkq - 5 11,w,69.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,78,24,r3k2r/pp2bppp/1qn1p3/3pPn2/1P1P4/P4N1P/1B3PP1/R2QKB1R w KQkq - 1 13,w,70.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,79,24,r1b1k2r/ppp2ppp/3p1n2/8/3NP3/2P5/PP1B1KPP/R6R w kq - 2 13,w,-208.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,79,28,r4rk1/pppb1ppp/3p1n2/8/3NP3/2P2K2/PP1B2PP/R3R3 w - - 6 15,w,-172.0,1/2-1/2,0.5,d,1.0
lichess_elite_2014-09.pgn,80,16,rnbq1rk1/pp2ppbp/1n1p2p1/8/2PP4/4BN2/PP1N1PPP/R2QKB1R w KQ - 4 9,w,0.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,80,20,r2q1rk1/pp2ppbp/1nnp2p1/5b2/2PP4/4BN2/PP1NBPPP/R2Q1RK1 w - - 8 11,w,56.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,80,24,r1nq1rk1/pp2ppbp/2n3p1/2Pp1b2/3P4/4BN2/PP1NBPPP/2RQ1RK1 w - - 1 13,w,46.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,80,28,r1nq1rk1/pp3pbp/2n1p1p1/2Pp4/1P1P2b1/P3BN2/3NBPPP/2RQ1RK1 w - - 0 15,w,166.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,80,32,r2q1rk1/pp2npbp/2n1p1p1/2Pp4/1P1P4/P3BN1P/4BPP1/2RQ1RK1 w - - 1 17,w,163.0,1-0,1.0,w,1.0
lichess_elite_2014-09.pgn,80,36,r2q1rk1/pp3pbp/2n1p3/2Pp1p2/1P1P4/P3BN1P/5PP1/2RQ1RK1 w - - 0 19,w,222.0,1-0,1.0,w,1.0
